Date,Type,residence,Positive,Negative
1/17/2021,Faculty/Staff,Non-Residential,1,35
1/17/2021,Students,Students - Non-Residential,2,43
1/17/2021,Students,Students - Residential,0,25
1/18/2021,Faculty/Staff,Non-Residential,4,70
1/18/2021,Students,Students - Non-Residential,5,154
1/18/2021,Students,Students - Residential,1,93
1/19/2021,Faculty/Staff,Non-Residential,8,115
1/19/2021,Students,Students - Non-Residential,10,325
1/19/2021,Students,Students - Residential,3,459
1/20/2021,Faculty/Staff,Non-Residential,4,168
1/20/2021,Students,Students - Non-Residential,7,830
1/20/2021,Students,Students - Residential,4,459
1/21/2021,Faculty/Staff,Non-Residential,2,71
1/21/2021,Students,Students - Non-Residential,2,653
1/21/2021,Students,Students - Residential,6,606
1/22/2021,Faculty/Staff,Non-Residential,4,110
1/22/2021,Students,Students - Non-Residential,10,922
1/22/2021,Students,Students - Residential,3,696
1/23/2021,Faculty/Staff,Non-Residential,1,19
1/23/2021,Students,Students - Non-Residential,9,378
1/23/2021,Students,Students - Residential,0,334
1/24/2021,Faculty/Staff,Non-Residential,0,112
1/24/2021,Students,Students - Non-Residential,12,1038
1/24/2021,Students,Students - Residential,7,694
1/25/2021,Faculty/Staff,Non-Residential,4,115
1/25/2021,Students,Students - Non-Residential,8,865
1/25/2021,Students,Students - Residential,7,939
1/26/2021,Faculty/Staff,Non-Residential,1,188
1/26/2021,Students,Students - Non-Residential,6,636
1/26/2021,Students,Students - Residential,4,738
1/27/2021,Faculty/Staff,Non-Residential,3,110
1/27/2021,Students,Students - Non-Residential,21,794
1/27/2021,Students,Students - Residential,4,601
1/28/2021,Faculty/Staff,Non-Residential,6,82
1/28/2021,Students,Students - Non-Residential,13,519
1/28/2021,Students,Students - Residential,8,533
1/29/2021,Faculty/Staff,Non-Residential,0,74
1/29/2021,Students,Students - Non-Residential,9,499
1/29/2021,Students,Students - Residential,4,210
1/30/2021,Faculty/Staff,Non-Residential,1,38
1/30/2021,Students,Students - Non-Residential,3,116
1/30/2021,Students,Students - Residential,5,51
1/31/2021,Faculty/Staff,Non-Residential,0,30
1/31/2021,Students,Students - Non-Residential,6,51
1/31/2021,Students,Students - Residential,6,22
2/1/2021,Faculty/Staff,Non-Residential,5,122
2/1/2021,Students,Students - Non-Residential,52,1182
2/1/2021,Students,Students - Residential,84,958
2/2/2021,Faculty/Staff,Non-Residential,2,108
2/2/2021,Students,Students - Non-Residential,45,1012
2/2/2021,Students,Students - Residential,55,884
2/3/2021,Faculty/Staff,Non-Residential,1,118
2/3/2021,Students,Students - Non-Residential,32,1027
2/3/2021,Students,Students - Residential,31,675
2/4/2021,Faculty/Staff,Non-Residential,4,106
2/4/2021,Students,Students - Non-Residential,17,802
2/4/2021,Students,Students - Residential,24,641
2/5/2021,Faculty/Staff,Non-Residential,1,105
2/5/2021,Students,Students - Non-Residential,12,549
2/5/2021,Students,Students - Residential,9,277
2/6/2021,Faculty/Staff,Non-Residential,1,4
2/6/2021,Students,Students - Non-Residential,4,54
2/6/2021,Students,Students - Residential,7,46
2/7/2021,Faculty/Staff,Non-Residential,0,29
2/7/2021,Students,Students - Non-Residential,2,80
2/7/2021,Students,Students - Residential,7,72
2/8/2021,Faculty/Staff,Non-Residential,3,133
2/8/2021,Students,Students - Non-Residential,13,1083
2/8/2021,Students,Students - Residential,20,911
2/9/2021,Faculty/Staff,Non-Residential,3,118
2/9/2021,Students,Students - Non-Residential,7,1124
2/9/2021,Students,Students - Residential,30,846
2/10/2021,Faculty/Staff,Non-Residential,2,146
2/10/2021,Students,Students - Non-Residential,5,1212
2/10/2021,Students,Students - Residential,16,614
2/11/2021,Faculty/Staff,Non-Residential,3,103
2/11/2021,Students,Students - Non-Residential,9,807
2/11/2021,Students,Students - Residential,9,565
2/12/2021,Faculty/Staff,Non-Residential,0,101
2/12/2021,Students,Students - Non-Residential,5,511
2/12/2021,Students,Students - Residential,6,251
2/13/2021,Faculty/Staff,Non-Residential,0,0
2/13/2021,Students,Students - Non-Residential,1,39
2/13/2021,Students,Students - Residential,2,21
2/14/2021,Faculty/Staff,Non-Residential,0,18
2/14/2021,Students,Students - Non-Residential,0,83
2/14/2021,Students,Students - Residential,1,47
2/15/2021,Faculty/Staff,Non-Residential,2,127
2/15/2021,Students,Students - Non-Residential,2,1187
2/15/2021,Students,Students - Residential,4,497
2/16/2021,Faculty/Staff,Non-Residential,0,98
2/16/2021,Students,Students - Non-Residential,4,893
2/16/2021,Students,Students - Residential,1,523
2/17/2021,Faculty/Staff,Non-Residential,2,160
2/17/2021,Students,Students - Non-Residential,2,1135
2/17/2021,Students,Students - Residential,2,408
2/18/2021,Faculty/Staff,Non-Residential,0,79
2/18/2021,Students,Students - Non-Residential,1,686
2/18/2021,Students,Students - Residential,3,444
2/19/2021,Faculty/Staff,Non-Residential,0,101
2/19/2021,Students,Students - Non-Residential,1,507
2/19/2021,Students,Students - Residential,2,220
2/20/2021,Students,Students - Non-Residential,0,19
2/20/2021,Students,Students - Residential,1,8
2/21/2021,Faculty/Staff,Non-Residential,0,35
2/21/2021,Students,Students - Non-Residential,0,61
2/21/2021,Students,Students - Residential,0,32
2/22/2021,Faculty/Staff,Non-Residential,2,156
2/22/2021,Students,Students - Non-Residential,2,1141
2/22/2021,Students,Students - Residential,0,549
2/23/2021,Faculty/Staff,Non-Residential,2,101
2/23/2021,Students,Students - Non-Residential,1,1045
2/23/2021,Students,Students - Residential,1,510
2/24/2021,Faculty/Staff,Non-Residential,0,164
2/24/2021,Students,Students - Non-Residential,6,1128
2/24/2021,Students,Students - Residential,2,353
2/25/2021,Faculty/Staff,Non-Residential,0,61
2/25/2021,Students,Students - Non-Residential,0,690
